run_id,seed,pso_fitness,shoa_fitness,shoa_minus_pso,winner,pso_assignment,shoa_assignment
1,1,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 2 1 2 0
2,2,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
3,3,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
4,4,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 2 1 2 0
5,5,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
6,6,89.0,92.0,3.0,PSO,0 1 1 1 2 0,1 1 0 1 2 0
7,7,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
8,8,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
9,9,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
10,10,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
11,11,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 2 1 2 0
12,12,89.0,92.0,3.0,PSO,0 1 2 1 2 0,1 1 0 1 2 0
13,13,89.0,95.0,6.0,PSO,0 1 2 1 2 0,1 1 2 1 0 0
14,14,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
15,15,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
16,16,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
17,17,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
18,18,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
19,19,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
20,20,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
21,21,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
22,22,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
23,23,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
24,24,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
25,25,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
26,26,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 2 1 2 0
27,27,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
28,28,89.0,89.0,0.0,TIE,0 1 2 1 2 0,0 1 1 1 2 0
29,29,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
30,30,89.0,89.0,0.0,TIE,0 1 1 1 2 0,0 1 1 1 2 0
